instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
248,2011-09-05,Fall,2011,9,Holiday,Monday,Non-Working Day,Mist,67,62,79,21,1236,2115,3351
249,2011-09-06,Fall,2011,9,Non Holiday,Tuesday,Working Day,Light Precipitation,54,51,88,34,204,2506,2710
250,2011-09-07,Fall,2011,9,Non Holiday,Wednesday,Working Day,Light Precipitation,59,54,91,9,118,1878,1996
251,2011-09-08,Fall,2011,9,Non Holiday,Thursday,Working Day,Light Precipitation,63,55,93,19,153,1689,1842
252,2011-09-09,Fall,2011,9,Non Holiday,Friday,Working Day,Mist,65,57,89,12,417,3127,3544
253,2011-09-10,Fall,2011,9,Non Holiday,Saturday,Non-Working Day,Clear,66,60,75,15,1750,3595,5345
254,2011-09-11,Fall,2011,9,Non Holiday,Sunday,Non-Working Day,Clear,65,60,71,11,1633,3413,5046
255,2011-09-12,Fall,2011,9,Non Holiday,Monday,Working Day,Clear,64,60,69,8,690,4023,4713
256,2011-09-13,Fall,2011,9,Non Holiday,Tuesday,Working Day,Clear,65,60,71,14,701,4062,4763
257,2011-09-14,Fall,2011,9,Non Holiday,Wednesday,Working Day,Clear,67,62,69,16,647,4138,4785
258,2011-09-15,Fall,2011,9,Non Holiday,Thursday,Working Day,Mist,57,55,70,27,428,3231,3659
259,2011-09-16,Fall,2011,9,Non Holiday,Friday,Working Day,Mist,46,46,59,16,742,4018,4760
260,2011-09-17,Fall,2011,9,Non Holiday,Saturday,Non-Working Day,Mist,49,47,71,18,1434,3077,4511
261,2011-09-18,Fall,2011,9,Non Holiday,Sunday,Non-Working Day,Clear,50,49,69,17,1353,2921,4274
262,2011-09-19,Fall,2011,9,Non Holiday,Monday,Working Day,Mist,54,52,69,15,691,3848,4539
263,2011-09-20,Fall,2011,9,Non Holiday,Tuesday,Working Day,Mist,56,53,88,13,438,3203,3641
264,2011-09-21,Fall,2011,9,Non Holiday,Wednesday,Working Day,Mist,59,55,90,9,539,3813,4352
265,2011-09-22,Fall,2011,9,Non Holiday,Thursday,Working Day,Mist,62,55,90,12,555,4240,4795
266,2011-09-23,Winter,2011,9,Non Holiday,Friday,Working Day,Mist,60,52,97,7,258,2137,2395
267,2011-09-24,Winter,2011,9,Non Holiday,Saturday,Non-Working Day,Mist,60,56,86,7,1776,3647,5423
268,2011-09-25,Winter,2011,9,Non Holiday,Sunday,Non-Working Day,Mist,63,57,84,5,1544,3466,5010
269,2011-09-26,Winter,2011,9,Non Holiday,Monday,Working Day,Mist,64,58,84,11,684,3946,4630
270,2011-09-27,Winter,2011,9,Non Holiday,Tuesday,Working Day,Mist,63,57,88,11,477,3643,4120
271,2011-09-28,Winter,2011,9,Non Holiday,Wednesday,Working Day,Mist,63,57,84,14,480,3427,3907
272,2011-09-29,Winter,2011,9,Non Holiday,Thursday,Working Day,Clear,61,57,69,17,653,4186,4839
273,2011-09-30,Winter,2011,9,Non Holiday,Friday,Working Day,Clear,56,54,64,20,830,4372,5202
274,2011-10-01,Winter,2011,10,Non Holiday,Saturday,Non-Working Day,Mist,41,41,75,29,480,1949,2429
275,2011-10-02,Winter,2011,10,Non Holiday,Sunday,Non-Working Day,Mist,35,34,79,22,616,2302,2918
276,2011-10-03,Winter,2011,10,Non Holiday,Monday,Working Day,Mist,38,39,76,8,330,3240,3570
277,2011-10-04,Winter,2011,10,Non Holiday,Tuesday,Working Day,Clear,48,47,71,20,486,3970,4456
278,2011-10-05,Winter,2011,10,Non Holiday,Wednesday,Working Day,Clear,53,52,64,17,559,4267,4826
279,2011-10-06,Winter,2011,10,Non Holiday,Thursday,Working Day,Clear,49,48,62,13,639,4126,4765
280,2011-10-07,Winter,2011,10,Non Holiday,Friday,Working Day,Clear,51,50,68,2,949,4036,4985
281,2011-10-08,Winter,2011,10,Non Holiday,Saturday,Non-Working Day,Clear,52,51,70,4,2235,3174,5409
282,2011-10-09,Winter,2011,10,Non Holiday,Sunday,Non-Working Day,Clear,54,52,72,6,2397,3114,5511
283,2011-10-10,Winter,2011,10,Holiday,Monday,Non-Working Day,Clear,57,54,73,4,1514,3603,5117
284,2011-10-11,Winter,2011,10,Non Holiday,Tuesday,Working Day,Mist,56,54,80,14,667,3896,4563
285,2011-10-12,Winter,2011,10,Non Holiday,Wednesday,Working Day,Light Precipitation,54,51,90,24,217,2199,2416
286,2011-10-13,Winter,2011,10,Non Holiday,Thursday,Working Day,Mist,58,55,89,14,290,2623,2913
287,2011-10-14,Winter,2011,10,Non Holiday,Friday,Working Day,Mist,55,52,71,22,529,3115,3644
288,2011-10-15,Winter,2011,10,Non Holiday,Saturday,Non-Working Day,Clear,50,49,48,25,1899,3318,5217
289,2011-10-16,Winter,2011,10,Non Holiday,Sunday,Non-Working Day,Clear,51,50,48,28,1748,3293,5041
290,2011-10-17,Winter,2011,10,Non Holiday,Monday,Working Day,Clear,53,51,57,17,713,3857,4570
291,2011-10-18,Winter,2011,10,Non Holiday,Tuesday,Working Day,Mist,53,52,70,11,637,4111,4748
292,2011-10-19,Winter,2011,10,Non Holiday,Wednesday,Working Day,Light Precipitation,54,51,89,24,254,2170,2424
293,2011-10-20,Winter,2011,10,Non Holiday,Thursday,Working Day,Clear,47,46,63,42,471,3724,4195
294,2011-10-21,Winter,2011,10,Non Holiday,Friday,Working Day,Clear,42,42,57,22,676,3628,4304
295,2011-10-22,Winter,2011,10,Non Holiday,Saturday,Non-Working Day,Clear,42,42,62,9,1499,2809,4308
296,2011-10-23,Winter,2011,10,Non Holiday,Sunday,Non-Working Day,Clear,42,42,74,9,1619,2762,4381
297,2011-10-24,Winter,2011,10,Non Holiday,Monday,Working Day,Clear,46,45,77,11,699,3488,4187
298,2011-10-25,Winter,2011,10,Non Holiday,Tuesday,Working Day,Clear,47,46,62,16,695,3992,4687
299,2011-10-26,Winter,2011,10,Non Holiday,Wednesday,Working Day,Mist,48,47,72,14,404,3490,3894
300,2011-10-27,Winter,2011,10,Non Holiday,Thursday,Working Day,Mist,47,45,81,19,240,2419,2659
301,2011-10-28,Winter,2011,10,Non Holiday,Friday,Working Day,Mist,33,31,58,22,456,3291,3747
302,2011-10-29,Winter,2011,10,Non Holiday,Saturday,Non-Working Day,Light Precipitation,25,22,88,35,57,570,627
303,2011-10-30,Winter,2011,10,Non Holiday,Sunday,Non-Working Day,Clear,31,32,62,17,885,2446,3331
304,2011-10-31,Winter,2011,10,Non Holiday,Monday,Working Day,Clear,34,35,70,10,362,3307,3669
305,2011-11-01,Winter,2011,11,Non Holiday,Tuesday,Working Day,Clear,40,39,68,13,410,3658,4068
306,2011-11-02,Winter,2011,11,Non Holiday,Wednesday,Working Day,Clear,37,39,71,8,370,3816,4186
307,2011-11-03,Winter,2011,11,Non Holiday,Thursday,Working Day,Clear,40,40,70,13,318,3656,3974
308,2011-11-04,Winter,2011,11,Non Holiday,Friday,Working Day,Mist,40,40,62,27,470,3576,4046
309,2011-11-05,Winter,2011,11,Non Holiday,Saturday,Non-Working Day,Clear,32,32,51,18,1156,2770,3926
310,2011-11-06,Winter,2011,11,Non Holiday,Sunday,Non-Working Day,Clear,34,36,73,9,952,2697,3649
311,2011-11-07,Winter,2011,11,Non Holiday,Monday,Working Day,Clear,39,40,75,5,373,3662,4035
312,2011-11-08,Winter,2011,11,Non Holiday,Tuesday,Working Day,Clear,40,41,72,6,376,3829,4205
313,2011-11-09,Winter,2011,11,Non Holiday,Wednesday,Working Day,Clear,40,40,75,6,305,3804,4109
314,2011-11-10,Winter,2011,11,Non Holiday,Thursday,Working Day,Mist,38,37,81,18,190,2743,2933
315,2011-11-11,Winter,2011,11,Holiday,Friday,Non-Working Day,Clear,32,30,44,31,440,2928,3368
316,2011-11-12,Winter,2011,11,Non Holiday,Saturday,Non-Working Day,Clear,35,35,55,21,1275,2792,4067
317,2011-11-13,Winter,2011,11,Non Holiday,Sunday,Non-Working Day,Clear,44,43,45,28,1004,2713,3717
318,2011-11-14,Winter,2011,11,Non Holiday,Monday,Working Day,Clear,53,52,58,30,595,3891,4486
319,2011-11-15,Winter,2011,11,Non Holiday,Tuesday,Working Day,Mist,53,50,68,19,449,3746,4195
320,2011-11-16,Winter,2011,11,Non Holiday,Wednesday,Working Day,Light Precipitation,45,45,93,13,145,1672,1817
321,2011-11-17,Winter,2011,11,Non Holiday,Thursday,Working Day,Mist,34,32,57,30,139,2914,3053
322,2011-11-18,Winter,2011,11,Non Holiday,Friday,Working Day,Clear,27,27,41,16,245,3147,3392
323,2011-11-19,Winter,2011,11,Non Holiday,Saturday,Non-Working Day,Clear,32,32,50,22,943,2720,3663
324,2011-11-20,Winter,2011,11,Non Holiday,Sunday,Non-Working Day,Mist,46,45,68,18,787,2733,3520
325,2011-11-21,Winter,2011,11,Non Holiday,Monday,Working Day,Light Precipitation,44,44,91,13,220,2545,2765
326,2011-11-22,Winter,2011,11,Non Holiday,Tuesday,Working Day,Light Precipitation,41,42,96,11,69,1538,1607
327,2011-11-23,Winter,2011,11,Non Holiday,Wednesday,Working Day,Mist,44,43,75,33,112,2454,2566
328,2011-11-24,Winter,2011,11,Holiday,Thursday,Non-Working Day,Clear,37,37,54,16,560,935,1495
329,2011-11-25,Winter,2011,11,Non Holiday,Friday,Working Day,Clear,37,38,64,9,1095,1697,2792
330,2011-11-26,Winter,2011,11,Non Holiday,Saturday,Non-Working Day,Clear,37,38,68,6,1249,1819,3068
331,2011-11-27,Winter,2011,11,Non Holiday,Sunday,Non-Working Day,Clear,45,45,69,20,810,2261,3071
332,2011-11-28,Winter,2011,11,Non Holiday,Monday,Working Day,Clear,50,49,74,14,253,3614,3867
333,2011-11-29,Winter,2011,11,Non Holiday,Tuesday,Working Day,Mist,45,45,83,25,96,2818,2914
334,2011-11-30,Winter,2011,11,Non Holiday,Wednesday,Working Day,Clear,32,31,61,27,188,3425,3613
335,2011-12-01,Winter,2011,12,Non Holiday,Thursday,Working Day,Clear,31,30,52,22,182,3545,3727
336,2011-12-02,Winter,2011,12,Non Holiday,Friday,Working Day,Clear,31,33,62,10,268,3672,3940
337,2011-12-03,Winter,2011,12,Non Holiday,Saturday,Non-Working Day,Clear,29,31,61,9,706,2908,3614
338,2011-12-04,Winter,2011,12,Non Holiday,Sunday,Non-Working Day,Clear,33,34,77,8,634,2851,3485
339,2011-12-05,Winter,2011,12,Non Holiday,Monday,Working Day,Mist,38,39,82,6,233,3578,3811
340,2011-12-06,Winter,2011,12,Non Holiday,Tuesday,Working Day,Light Precipitation,46,45,94,23,126,2468,2594
341,2011-12-07,Winter,2011,12,Non Holiday,Wednesday,Working Day,Light Precipitation,41,40,97,26,50,655,705
342,2011-12-08,Winter,2011,12,Non Holiday,Thursday,Working Day,Clear,26,25,57,24,150,3172,3322
343,2011-12-09,Winter,2011,12,Non Holiday,Friday,Working Day,Clear,29,31,69,8,261,3359,3620
344,2011-12-10,Winter,2011,12,Non Holiday,Saturday,Non-Working Day,Clear,27,26,50,23,502,2688,3190
345,2011-12-11,Winter,2011,12,Non Holiday,Sunday,Non-Working Day,Clear,22,25,49,6,377,2366,2743
346,2011-12-12,Winter,2011,12,Non Holiday,Monday,Working Day,Clear,23,27,67,6,143,3167,3310
347,2011-12-13,Winter,2011,12,Non Holiday,Tuesday,Working Day,Clear,28,30,59,14,155,3368,3523
348,2011-12-14,Winter,2011,12,Non Holiday,Wednesday,Working Day,Mist,31,33,66,6,178,3562,3740
349,2011-12-15,Winter,2011,12,Non Holiday,Thursday,Working Day,Mist,42,41,63,26,181,3528,3709
350,2011-12-16,Winter,2011,12,Non Holiday,Friday,Working Day,Mist,37,35,50,26,178,3399,3577
351,2011-12-17,Winter,2011,12,Non Holiday,Saturday,Non-Working Day,Mist,25,24,56,24,275,2464,2739
352,2011-12-18,Winter,2011,12,Non Holiday,Sunday,Non-Working Day,Clear,23,24,58,16,220,2211,2431
353,2011-12-19,Winter,2011,12,Non Holiday,Monday,Working Day,Clear,27,28,63,17,260,3143,3403
354,2011-12-20,Winter,2011,12,Non Holiday,Tuesday,Working Day,Mist,38,39,59,6,216,3534,3750
355,2011-12-21,Spring,2011,12,Non Holiday,Wednesday,Working Day,Mist,42,42,85,22,107,2553,2660
356,2011-12-22,Spring,2011,12,Non Holiday,Thursday,Working Day,Mist,42,42,75,4,227,2841,3068
357,2011-12-23,Spring,2011,12,Non Holiday,Friday,Working Day,Clear,37,37,68,27,163,2046,2209
358,2011-12-24,Spring,2011,12,Non Holiday,Saturday,Non-Working Day,Clear,30,29,54,19,155,856,1011
359,2011-12-25,Spring,2011,12,Non Holiday,Sunday,Non-Working Day,Clear,27,27,68,15,303,451,754
360,2011-12-26,Spring,2011,12,Holiday,Monday,Non-Working Day,Clear,32,31,50,23,430,887,1317
361,2011-12-27,Spring,2011,12,Non Holiday,Tuesday,Working Day,Mist,32,32,76,18,103,1059,1162
362,2011-12-28,Spring,2011,12,Non Holiday,Wednesday,Working Day,Clear,29,27,50,29,255,2047,2302
363,2011-12-29,Spring,2011,12,Non Holiday,Thursday,Working Day,Clear,24,26,57,11,254,2169,2423
364,2011-12-30,Spring,2011,12,Non Holiday,Friday,Working Day,Clear,31,31,63,13,491,2508,2999
365,2011-12-31,Spring,2011,12,Non Holiday,Saturday,Non-Working Day,Clear,41,41,61,22,665,1820,2485
366,2012-01-01,Spring,2012,1,Non Holiday,Sunday,Non-Working Day,Clear,37,37,69,19,686,1608,2294
367,2012-01-02,Spring,2012,1,Holiday,Monday,Non-Working Day,Clear,27,25,38,32,244,1707,1951
368,2012-01-03,Spring,2012,1,Non Holiday,Tuesday,Working Day,Clear,15,12,44,36,89,2147,2236
369,2012-01-04,Spring,2012,1,Non Holiday,Wednesday,Working Day,Mist,10,11,41,18,95,2273,2368
370,2012-01-05,Spring,2012,1,Non Holiday,Thursday,Working Day,Clear,26,27,52,12,140,3132,3272
371,2012-01-06,Spring,2012,1,Non Holiday,Friday,Working Day,Clear,33,34,54,16,307,3791,4098
372,2012-01-07,Spring,2012,1,Non Holiday,Saturday,Non-Working Day,Clear,39,39,53,17,1070,3451,4521
373,2012-01-08,Spring,2012,1,Non Holiday,Sunday,Non-Working Day,Clear,33,34,46,19,599,2826,3425
374,2012-01-09,Spring,2012,1,Non Holiday,Monday,Working Day,Mist,22,24,70,9,106,2270,2376
375,2012-01-10,Spring,2012,1,Non Holiday,Tuesday,Working Day,Clear,30,31,64,18,173,3425,3598
376,2012-01-11,Spring,2012,1,Non Holiday,Wednesday,Working Day,Mist,27,28,84,13,92,2085,2177
377,2012-01-12,Spring,2012,1,Non Holiday,Thursday,Working Day,Mist,38,38,80,18,269,3828,4097
378,2012-01-13,Spring,2012,1,Non Holiday,Friday,Working Day,Clear,27,24,50,37,174,3040,3214
379,2012-01-14,Spring,2012,1,Non Holiday,Saturday,Non-Working Day,Clear,18,18,45,18,333,2160,2493
380,2012-01-15,Spring,2012,1,Non Holiday,Sunday,Non-Working Day,Clear,16,16,41,25,284,2027,2311
381,2012-01-16,Spring,2012,1,Holiday,Monday,Non-Working Day,Clear,19,19,52,23,217,2081,2298
382,2012-01-17,Spring,2012,1,Non Holiday,Tuesday,Working Day,Mist,37,36,71,34,127,2808,2935
383,2012-01-18,Spring,2012,1,Non Holiday,Wednesday,Working Day,Clear,30,27,44,41,109,3267,3376
384,2012-01-19,Spring,2012,1,Non Holiday,Thursday,Working Day,Clear,19,19,49,22,130,3162,3292
385,2012-01-20,Spring,2012,1,Non Holiday,Friday,Working Day,Mist,21,22,45,20,115,3048,3163
386,2012-01-21,Spring,2012,1,Non Holiday,Saturday,Non-Working Day,Mist,17,17,83,22,67,1234,1301
387,2012-01-22,Spring,2012,1,Non Holiday,Sunday,Non-Working Day,Mist,16,16,79,19,196,1781,1977
388,2012-01-23,Spring,2012,1,Non Holiday,Monday,Working Day,Mist,21,24,91,11,145,2287,2432
389,2012-01-24,Spring,2012,1,Non Holiday,Tuesday,Working Day,Clear,34,34,83,12,439,3900,4339
390,2012-01-25,Spring,2012,1,Non Holiday,Wednesday,Working Day,Clear,29,29,64,16,467,3803,4270
391,2012-01-26,Spring,2012,1,Non Holiday,Thursday,Working Day,Mist,34,35,76,7,244,3831,4075
392,2012-01-27,Spring,2012,1,Non Holiday,Friday,Working Day,Mist,42,41,74,34,269,3187,3456
393,2012-01-28,Spring,2012,1,Non Holiday,Saturday,Non-Working Day,Clear,31,32,54,21,775,3248,4023
394,2012-01-29,Spring,2012,1,Non Holiday,Sunday,Non-Working Day,Clear,28,27,31,24,558,2685,3243
395,2012-01-30,Spring,2012,1,Non Holiday,Monday,Working Day,Clear,26,26,40,21,126,3498,3624
396,2012-01-31,Spring,2012,1,Non Holiday,Tuesday,Working Day,Clear,39,38,41,26,324,4185,4509
397,2012-02-01,Spring,2012,2,Non Holiday,Wednesday,Working Day,Clear,46,46,50,18,304,4275,4579
398,2012-02-02,Spring,2012,2,Non Holiday,Thursday,Working Day,Mist,39,39,67,18,190,3571,3761
399,2012-02-03,Spring,2012,2,Non Holiday,Friday,Working Day,Clear,31,30,52,17,310,3841,4151
400,2012-02-04,Spring,2012,2,Non Holiday,Saturday,Non-Working Day,Mist,26,27,77,12,384,2448,2832
401,2012-02-05,Spring,2012,2,Non Holiday,Sunday,Non-Working Day,Mist,26,26,68,17,318,2629,2947
402,2012-02-06,Spring,2012,2,Non Holiday,Monday,Working Day,Clear,28,29,62,15,206,3578,3784
403,2012-02-07,Spring,2012,2,Non Holiday,Tuesday,Working Day,Clear,35,36,49,14,199,4176,4375
404,2012-02-08,Spring,2012,2,Non Holiday,Wednesday,Working Day,Mist,25,26,72,13,109,2693,2802
405,2012-02-09,Spring,2012,2,Non Holiday,Thursday,Working Day,Clear,26,26,56,19,163,3667,3830
406,2012-02-10,Spring,2012,2,Non Holiday,Friday,Working Day,Mist,28,29,54,11,227,3604,3831
407,2012-02-11,Spring,2012,2,Non Holiday,Saturday,Non-Working Day,Light Precipitation,22,21,73,28,192,1977,2169
408,2012-02-12,Spring,2012,2,Non Holiday,Sunday,Non-Working Day,Clear,12,10,46,40,73,1456,1529
409,2012-02-13,Spring,2012,2,Non Holiday,Monday,Working Day,Clear,22,22,41,16,94,3328,3422
410,2012-02-14,Spring,2012,2,Non Holiday,Tuesday,Working Day,Mist,31,33,50,14,135,3787,3922
411,2012-02-15,Spring,2012,2,Non Holiday,Wednesday,Working Day,Clear,34,35,53,18,141,4028,4169
412,2012-02-16,Spring,2012,2,Non Holiday,Thursday,Working Day,Mist,31,33,75,9,74,2931,3005
413,2012-02-17,Spring,2012,2,Non Holiday,Friday,Working Day,Clear,34,35,63,20,349,3805,4154
414,2012-02-18,Spring,2012,2,Non Holiday,Saturday,Non-Working Day,Clear,34,35,53,19,1435,2883,4318
415,2012-02-19,Spring,2012,2,Non Holiday,Sunday,Non-Working Day,Mist,28,26,51,25,618,2071,2689
416,2012-02-20,Spring,2012,2,Holiday,Monday,Non-Working Day,Clear,28,27,50,22,502,2627,3129
417,2012-02-21,Spring,2012,2,Non Holiday,Tuesday,Working Day,Clear,28,29,59,20,163,3614,3777
418,2012-02-22,Spring,2012,2,Non Holiday,Wednesday,Working Day,Clear,39,39,56,23,394,4379,4773
419,2012-02-23,Spring,2012,2,Non Holiday,Thursday,Working Day,Clear,45,44,55,19,516,4546,5062
420,2012-02-24,Spring,2012,2,Non Holiday,Friday,Working Day,Mist,40,41,73,23,246,3241,3487
421,2012-02-25,Spring,2012,2,Non Holiday,Saturday,Non-Working Day,Clear,29,25,39,42,317,2415,2732
422,2012-02-26,Spring,2012,2,Non Holiday,Sunday,Non-Working Day,Clear,27,26,41,20,515,2874,3389
423,2012-02-27,Spring,2012,2,Non Holiday,Monday,Working Day,Clear,36,35,49,26,253,4069,4322
424,2012-02-28,Spring,2012,2,Non Holiday,Tuesday,Working Day,Clear,35,35,39,19,229,4134,4363
425,2012-02-29,Spring,2012,2,Non Holiday,Wednesday,Working Day,Mist,34,34,80,17,65,1769,1834
426,2012-03-01,Spring,2012,3,Non Holiday,Thursday,Working Day,Clear,48,47,61,22,325,4665,4990
427,2012-03-02,Spring,2012,3,Non Holiday,Friday,Working Day,Mist,35,35,65,14,246,2948,3194
428,2012-03-03,Spring,2012,3,Non Holiday,Saturday,Non-Working Day,Mist,41,41,62,16,956,3110,4066
429,2012-03-04,Spring,2012,3,Non Holiday,Sunday,Non-Working Day,Clear,32,30,40,33,710,2713,3423
430,2012-03-05,Spring,2012,3,Non Holiday,Monday,Working Day,Clear,24,24,50,22,203,3130,3333
431,2012-03-06,Spring,2012,3,Non Holiday,Tuesday,Working Day,Clear,25,25,45,20,221,3735,3956
432,2012-03-07,Spring,2012,3,Non Holiday,Wednesday,Working Day,Clear,40,38,51,34,432,4484,4916
433,2012-03-08,Spring,2012,3,Non Holiday,Thursday,Working Day,Clear,52,52,56,44,486,4896,5382
434,2012-03-09,Spring,2012,3,Non Holiday,Friday,Working Day,Mist,41,39,40,41,447,4122,4569
435,2012-03-10,Spring,2012,3,Non Holiday,Saturday,Non-Working Day,Clear,28,27,35,22,968,3150,4118
436,2012-03-11,Spring,2012,3,Non Holiday,Sunday,Non-Working Day,Clear,36,35,47,22,1658,3253,4911
437,2012-03-12,Spring,2012,3,Non Holiday,Monday,Working Day,Clear,46,45,48,20,838,4460,5298
438,2012-03-13,Spring,2012,3,Non Holiday,Tuesday,Working Day,Clear,56,54,61,23,762,5085,5847
439,2012-03-14,Spring,2012,3,Non Holiday,Wednesday,Working Day,Clear,57,54,50,11,997,5315,6312
440,2012-03-15,Spring,2012,3,Non Holiday,Thursday,Working Day,Clear,55,53,57,14,1005,5187,6192
441,2012-03-16,Spring,2012,3,Non Holiday,Friday,Working Day,Mist,43,43,84,11,548,3830,4378
442,2012-03-17,Spring,2012,3,Non Holiday,Saturday,Non-Working Day,Mist,51,50,75,11,3155,4681,7836
443,2012-03-18,Spring,2012,3,Non Holiday,Sunday,Non-Working Day,Mist,47,46,81,12,2207,3685,5892
444,2012-03-19,Spring,2012,3,Non Holiday,Monday,Working Day,Clear,54,53,72,16,982,5171,6153
445,2012-03-20,Spring,2012,3,Non Holiday,Tuesday,Working Day,Clear,56,53,80,12,1051,5042,6093
446,2012-03-21,Summer,2012,3,Non Holiday,Wednesday,Working Day,Mist,53,51,82,8,1122,5108,6230
447,2012-03-22,Summer,2012,3,Non Holiday,Thursday,Working Day,Clear,55,53,83,11,1334,5537,6871
448,2012-03-23,Summer,2012,3,Non Holiday,Friday,Working Day,Mist,60,57,69,11,2469,5893,8362
449,2012-03-24,Summer,2012,3,Non Holiday,Saturday,Non-Working Day,Mist,50,48,88,19,1033,2339,3372
450,2012-03-25,Summer,2012,3,Non Holiday,Sunday,Non-Working Day,Mist,43,43,88,22,1532,3464,4996
451,2012-03-26,Summer,2012,3,Non Holiday,Monday,Working Day,Clear,44,43,47,38,795,4763,5558
452,2012-03-27,Summer,2012,3,Non Holiday,Tuesday,Working Day,Clear,32,31,28,18,531,4571,5102
453,2012-03-28,Summer,2012,3,Non Holiday,Wednesday,Working Day,Clear,48,47,48,29,674,5024,5698
454,2012-03-29,Summer,2012,3,Non Holiday,Thursday,Working Day,Clear,49,48,43,31,834,5299,6133
455,2012-03-30,Summer,2012,3,Non Holiday,Friday,Working Day,Mist,37,37,58,13,796,4663,5459
456,2012-03-31,Summer,2012,3,Non Holiday,Saturday,Non-Working Day,Mist,42,42,73,25,2301,3934,6235
457,2012-04-01,Summer,2012,4,Non Holiday,Sunday,Non-Working Day,Mist,42,41,67,17,2347,3694,6041
458,2012-04-02,Summer,2012,4,Non Holiday,Monday,Working Day,Clear,43,42,50,31,1208,4728,5936
459,2012-04-03,Summer,2012,4,Non Holiday,Tuesday,Working Day,Clear,46,46,39,10,1348,5424,6772
460,2012-04-04,Summer,2012,4,Non Holiday,Wednesday,Working Day,Clear,54,53,46,18,1058,5378,6436
461,2012-04-05,Summer,2012,4,Non Holiday,Thursday,Working Day,Clear,43,43,37,21,1192,5265,6457
462,2012-04-06,Summer,2012,4,Non Holiday,Friday,Working Day,Clear,40,39,37,30,1807,4653,6460
463,2012-04-07,Summer,2012,4,Non Holiday,Saturday,Non-Working Day,Clear,43,42,25,27,3252,3605,6857
464,2012-04-08,Summer,2012,4,Non Holiday,Sunday,Non-Working Day,Clear,50,49,27,23,2230,2939,5169
465,2012-04-09,Summer,2012,4,Non Holiday,Monday,Working Day,Clear,48,47,31,35,905,4680,5585
466,2012-04-10,Summer,2012,4,Non Holiday,Tuesday,Working Day,Clear,44,43,43,24,819,5099,5918
467,2012-04-11,Summer,2012,4,Non Holiday,Wednesday,Working Day,Clear,34,33,46,29,482,4380,4862
468,2012-04-12,Summer,2012,4,Non Holiday,Thursday,Working Day,Clear,39,38,46,29,663,4746,5409
469,2012-04-13,Summer,2012,4,Non Holiday,Friday,Working Day,Clear,44,43,40,15,1252,5146,6398
470,2012-04-14,Summer,2012,4,Non Holiday,Saturday,Non-Working Day,Clear,49,48,50,19,2795,4665,7460
471,2012-04-15,Summer,2012,4,Non Holiday,Sunday,Non-Working Day,Clear,60,57,50,22,2846,4286,7132
472,2012-04-16,Summer,2012,4,Holiday,Monday,Non-Working Day,Clear,66,61,56,28,1198,5172,6370
473,2012-04-17,Summer,2012,4,Non Holiday,Tuesday,Working Day,Clear,60,59,39,27,989,5702,6691
474,2012-04-18,Summer,2012,4,Non Holiday,Wednesday,Working Day,Mist,46,45,56,16,347,4020,4367
475,2012-04-19,Summer,2012,4,Non Holiday,Thursday,Working Day,Clear,49,49,61,6,846,5719,6565
476,2012-04-20,Summer,2012,4,Non Holiday,Friday,Working Day,Clear,52,51,69,14,1340,5950,7290
477,2012-04-21,Summer,2012,4,Non Holiday,Saturday,Non-Working Day,Clear,56,54,68,28,2541,4083,6624
478,2012-04-22,Summer,2012,4,Non Holiday,Sunday,Non-Working Day,Light Precipitation,39,38,83,34,120,907,1027
479,2012-04-23,Summer,2012,4,Non Holiday,Monday,Working Day,Mist,32,30,76,30,195,3019,3214
480,2012-04-24,Summer,2012,4,Non Holiday,Tuesday,Working Day,Clear,41,40,45,24,518,5115,5633
481,2012-04-25,Summer,2012,4,Non Holiday,Wednesday,Working Day,Clear,47,47,42,11,655,5541,6196
482,2012-04-26,Summer,2012,4,Non Holiday,Thursday,Working Day,Mist,49,48,75,17,475,4551,5026
483,2012-04-27,Summer,2012,4,Non Holiday,Friday,Working Day,Clear,45,45,40,34,1014,5219,6233
484,2012-04-28,Summer,2012,4,Non Holiday,Saturday,Non-Working Day,Mist,37,37,48,12,1120,3100,4220
485,2012-04-29,Summer,2012,4,Non Holiday,Sunday,Non-Working Day,Clear,45,45,58,11,2229,4075,6304
486,2012-04-30,Summer,2012,4,Non Holiday,Monday,Working Day,Mist,46,45,56,17,665,4907,5572
487,2012-05-01,Summer,2012,5,Non Holiday,Tuesday,Working Day,Mist,61,57,65,15,653,5087,5740
488,2012-05-02,Summer,2012,5,Non Holiday,Wednesday,Working Day,Clear,56,53,79,13,667,5502,6169
489,2012-05-03,Summer,2012,5,Non Holiday,Thursday,Working Day,Mist,56,53,76,13,764,5657,6421
490,2012-05-04,Summer,2012,5,Non Holiday,Friday,Working Day,Clear,62,59,73,16,1069,5227,6296
491,2012-05-05,Summer,2012,5,Non Holiday,Saturday,Non-Working Day,Mist,62,58,75,15,2496,4387,6883
492,2012-05-06,Summer,2012,5,Non Holiday,Sunday,Non-Working Day,Mist,56,54,74,14,2135,4224,6359
493,2012-05-07,Summer,2012,5,Non Holiday,Monday,Working Day,Mist,53,52,66,23,1008,5265,6273
494,2012-05-08,Summer,2012,5,Non Holiday,Tuesday,Working Day,Mist,58,55,68,29,738,4990,5728
